response_id,topic,value,response_date,student_year,procedure,improvement,question,academic_year,label
R_00VmrkZs9axqOuB,t_3,0.9578947368421052,2021-05-24T21:59:35Z,D3,Periodontics,I would like to save my CHIPs assessment for the cleaning vs. at previous exams. I think it will just flow more naturally in that appt.,NA,2021-2022,exam time patient plan complete faculty appointment
R_0192n9h5gmAXuwh,t_1,0.7846153846153846,2021-11-12T00:28:05Z,D3,Periodontics,Next time I would like to exclude vertical bone loss and not try to see something that is not there if the same situation arrives,NA,2021-2022,caries patient plan treatment tooth lesion option
R_01JrvTOzQFSLyzD,t_3,0.911111111111111,2021-04-16T16:32:39Z,D3,Periodontics,Next time I would like to be more efficient with my clinical exam.,NA,2020-2021,exam time patient plan complete faculty appointment
R_01ZJPpQ1ecsu6Bj,t_1,0.9703703703703703,2020-11-10T23:14:35Z,D3,Exam/Tx Plan,"I want to improve on my ability to see what needs to be restored when there is no caries present. With this patient in particular, there were many ditches and areas of attrition, but was not confident in a few of the treatment plan of them when presenting. I believe this will come from experience over time. Thank you for working with me, Dr. Jiang.",NA,2020-2021,caries patient plan treatment tooth lesion option
R_02RAi64ci5hjsnn,t_3,0.8344827586206897,2021-12-12T03:26:22Z,D3,Periodontics,I am really looking forward to the opportunity to perform the crown lengthening for this patient. The initial consultation provided me with a solid foundation from which to prepare prior to the procedure. I look forward to working with you on this case in January! I will be sure to be well-,NA,2021-2022,exam time patient plan complete faculty appointment
R_034nLooknR7zL0Z,t_3,0.8400000000000001,2021-02-16T01:02:13Z,D3,Periodontics,I would like to be more efficient with mident.,NA,2020-2021,exam time patient plan complete faculty appointment
R_03Cl0Ep2QAbPI0F,t_4,0.8666666666666666,2021-11-23T23:42:51Z,D3,Restorative,"When restoring a tooth with a rest seat, I will check the fit of the RPD with contact paper in the future.",NA,2021-2022,time crown impression denture occlusion bite tray
R_03wAqfpjyMaXHoJ,t_5,0.6218181818181818,2021-01-20T00:47:53Z,D3,Prosthodontics,"This was kind of an interesting procedure for me because I assumed that (after having done a crown prep on #15 previously) that this would be the ideal easy-ish situation to test case. However, I did not realize how far subgingivally the distal margin of the amalgam extended. When I was prepping, I was getting sequentially more and more nervous that it would be very difficult to complete all of the following steps for the test case as well given the margin level and to obtain adequate hemostasis. However, I",NA,2020-2021,contact margin prep composite restoration bur remove
R_03xMRFWK2LEfna1,t_3,0.8400000000000001,2020-12-04T20:53:19Z,D3,Restorative,use time more efficiently,NA,2020-2021,exam time patient plan complete faculty appointment
R_06fUCWQezi4UOjf,t_1,0.7161290322580645,2021-05-28T16:18:52Z,D3,Exam/Tx Plan,"Next time I would like to be better prepared to discuss the patient's tx history and my clinical and radiographic findings with faculty. I would like to be more efficient with my time, but not at the expense of the patient's treatment needs.",NA,2021-2022,caries patient plan treatment tooth lesion option
R_06Sr8d0FqmGx0Yh,t_1,0.5320754716981132,2021-04-01T00:50:40Z,D3,Exam/Tx Plan,One of challenges that I had during this appointment was that patient cried when I did local anesthesia to control her pain while cleaning. I used topical intially and patient still felt pain. I asked her if she wanted local anesthesia and she said yes. I did not realize that she had a bad experience with extractions as a child associated with anesthesia. My LA triggered her memory and she was emotionally out of control. I should probably have learnt better about patient's perception on dentistry before I j,NA,2020-2021,caries patient plan treatment tooth lesion option
R_07cEB8qXCygVf57,t_5,0.793939393939394,2021-06-18T21:46:14Z,D3,Restorative,I would like to be able to better gauge what should kept vs not in terms of the restoration prep. This was only my second restoration and I was very thrown off by how large and oddly shaped the restoration became. I appreciated your help immensely Dr. Campos!,"In this restoration, the prep was quite largewould it have been better to restore with a crown instead of a composite?",2021-2022,contact margin prep composite restoration bur remove
R_07DExhBKZiMZiFz,t_3,0.8400000000000001,2020-11-04T22:16:12Z,D3,Restorative,"nothing, the appointment was perfect.",NA,2020-2021,exam time patient plan complete faculty appointment
R_07g2avpH1NX4JY5,t_1,0.5771428571428571,2020-10-11T14:12:55Z,D3,Prosthodontics,"I would have evaluated the patient's tooth more carefully and gotten more feedback from other faculty. The patient's tooth ended up being too broken down for a good retentive crown to be placed, and ended up needing it extracted. Other faculty have told me that a crown was possible but I should have talked to more prosth faculty.",NA,2020-2021,caries patient plan treatment tooth lesion option
R_07J3hSOXGqWnuKJ,t_5,0.9619047619047618,2021-06-08T20:42:47Z,D3,Restorative,Next time I want to do a better job of cleaning my margins before I cure so that I have less to finish/polish. I think that this is something that I will get better at as I do more restorations and it also will help me to get more efficient with my timing.,NA,2021-2022,contact margin prep composite restoration bur remove
R_0824FxvglxOTbfr,t_5,0.9384615384615385,2021-12-01T17:57:45Z,D3,Restorative,Try to access the pulp chamber better to replace restoration.,How may I improve?,2021-2022,contact margin prep composite restoration bur remove
R_08JNKpUFopJDaSZ,t_1,0.6173913043478261,2021-06-21T18:23:40Z,D3,Exam/Tx Plan,I want to do a better job distinguishing a cavitated lesion from an arrested one. Today was the first time I diagnosed a cavitated lesion and was second guessing myself.,NA,2021-2022,caries patient plan treatment tooth lesion option
