response_date	response_id	response_value	student_year	question	proc
2021-02-12 18:10:51	R_0Vw0jMrTiyyQEY9	Appointment went well. Wish I had called endodontics early to evaluate prognosis of a tooth.	D3	improvement	Restorative
2021-02-12 18:10:51	R_0Vw0jMrTiyyQEY9	Thank you so much for today Dr. Czarnecki! 	D3	question	Restorative
2021-04-01 22:20:10	R_1C1Lw6mBJqbS8ji	"I would to do a better job at polishing composite restorations and communication with patient's with financial concerns out of my control. 
"	D3	improvement	Restorative
2021-04-01 22:20:10	R_1C1Lw6mBJqbS8ji	Thank you Dr. Geetha for you help and guidance this morning! I learned a lot polishing composite and also how to write a external referral. Looking forward to working with you in the future! =D	D3	question	Restorative
2021-02-17 22:38:03	R_1Ebr3EOyMDMhkic	I think that I can improve on timing and outline of appointments. I tend to run out of time in appointments when consults are needed. Would love to hear suggestions on ways not to run out of time. 	D3	improvement	Exam/Tx Plan
2021-02-17 22:38:03	R_1Ebr3EOyMDMhkic	Thank you for your help today Dr. Medina! Appreciate your guidance and patience with me today. 	D3	question	Exam/Tx Plan
2021-01-27 19:58:05	R_1itgPN1qg2nq0LX	I would like to plan out when to call for consults better. I had difficult getting a prosthodontic consult. Calling prosthodontics early in the appointment would have helped. Other then that, the appointment went will. 	D3	improvement	Exam/Tx Plan
2021-01-27 19:58:05	R_1itgPN1qg2nq0LX	Thank you Dr. Medina for your guidance and instruction about test cases today!	D3	question	Exam/Tx Plan
2021-01-21 21:41:55	R_1n1QZOntz2zTCs4	I would like to be more knowledgeable about the different bonding materials for temp crowns. 	D3	improvement	Prosthodontics
2021-01-21 21:41:55	R_1n1QZOntz2zTCs4	Thank you Dr. Gracia! I learned a lot from our appointment on Tuesday. 	D3	question	Prosthodontics
2021-01-13 15:24:48	R_1QuPL2jmknWJbcG	I would like to understand the CEREC design stage better. I learned a lot about angulation technique when using the scanner. 	D3	improvement	Restorative
2021-01-13 15:24:48	R_1QuPL2jmknWJbcG	Thank you for direction today Dr. Vij! Greatly appreciated! 	D3	question	Restorative
2021-03-16 18:58:13	R_1ri9bukiVj09Wkl	I would like to work on my angulation and indirect vision. It was very difficult to access the distal of the 2nd molar. With the instructors help, I was able to restore the prep. In the future, I would like to build more confidence in cases like this one. 	D3	improvement	Restorative
2021-03-16 18:58:13	R_1ri9bukiVj09Wkl	Thank you Dr. Naser! You were awesome today! That's properly the most difficult fillings that I have done thus far, but it was a learning experience. Thank you for your guidance, and looking forward to working with you in the future.	D3	question	Restorative
2021-03-24 00:41:22	R_23W5SyJmH4MxlBJ	Overall, I think that appointment went pretty well. Next time, I would just like to be a little more confident in border molding and final impressions. 	D3	improvement	Prosthodontics
