,0,1
0,dental,1407
1,teeth,1058
2,would,1057
3,need,973
4,cost,871
5,insurance,861
6,get,801
7,tooth,666
8,dentist,528
9,implants,501
10,appointment,466
11,clinic,403
12,school,385
13,know,382
14,help,367
15,done,364
16,student,357
17,wondering,345
18,root,343
19,work,338
20,like,336
21,could,328
22,patient,320
23,dentures,316
24,time,288
25,one,286
26,wisdom,275
27,also,266
28,crown,262
29,thanks,257
30,implant,255
31,pain,251
32,care,248
33,medicaid,240
34,needs,235
35,back,231
36,hello,230
37,canal,229
38,braces,226
39,make,211
40,new,210
41,treatment,209
42,looking,205
43,accept,202
44,years,200
45,plan,194
46,told,191
47,hi,187
48,see,186
49,take,186
50,full,177
51,cleaning,177
52,able,176
53,call,175
54,old,175
55,payment,168
56,pulled,167
57,surgery,165
58,year,164
59,dentistry,162
60,mouth,162
61,pay,161
62,getting,160
63,patients,159
64,offer,157
65,dont,154
66,services,151
67,information,150
68,someone,148
69,michigan,147
70,go,147
71,want,146
72,two,143
73,removed,143
74,price,142
75,upper,139
76,front,138
77,since,136
78,possible,135
79,email,133
80,currently,132
81,cover,132
82,oral,130
83,students,129
84,top,127
85,health,125
86,due,124
87,procedure,121
88,set,121
89,left,120
90,lower,120
91,find,120
92,ago,119
93,extraction,117
94,guys,117
95,crowns,117
96,may,116
97,come,115
98,office,115
99,last,114
100,broken,111
101,give,109
102,still,107
103,something,107
104,delta,106
105,number,106
106,said,105
107,send,105
108,contact,105
109,graduate,105
110,without,104
111,provide,103
112,rays,102
113,cant,102
114,afford,100
115,really,99
116,bad,99
117,dr,97
118,trying,96
119,um,96
120,emergency,95
121,way,93
122,referral,93
123,schedule,92
124,filling,92
125,put,91
126,income,90
127,son,90
128,estimate,90
129,molar,90
130,going,89
131,got,89
132,seen,89
133,ive,88
134,think,87
135,bottom,85
136,right,85
137,options,85
138,extracted,85
139,free,84
140,canals,84
141,costs,83
142,long,83
143,well,83
144,sure,82
145,available,82
146,extractions,81
147,anything,80
148,bridge,80
149,denture,79
150,day,79
151,medicare,78
152,money,78
153,option,78
154,charge,77
155,phone,77
156,blue,77
157,good,76
158,received,76
159,recently,76
160,service,76
161,check,76
162,university,76
163,let,74
164,bill,74
165,first,74
166,name,73
167,wanted,73
168,best,73
169,interested,72
170,soon,72
171,another,71
172,paid,71
173,fillings,71
174,sent,71
175,months,70
176,even,69
177,daughter,69
178,bone,69
179,side,68
180,believe,68
181,made,67
182,procedures,67
183,gum,67
184,lot,67
185,program,67
186,appointments,66
187,lost,65
188,clinics,65
189,pocket,65
190,issues,65
191,question,65
192,low,64
193,jaw,64
194,use,63
195,husband,63
196,several,62
197,missing,61
198,general,61
199,consultation,61
