topic,item,label,ldavis_number,text,response_dt
t_2,2841,patient tooth treatment option crown discuss pt time,5,"Next time, I will be more aware of buccal flange extensions on a lower denture and look for sharp spots in the intaglio of each denture.",2021-05-04T14:03:52Z
t_10,2524,hand time instrument work scale position improve patient,2,I would like to be more efficient with instrucment use.,2021-05-04T15:09:01Z
t_10,2230,hand time instrument work scale position improve patient,2,I would like to focus more on seating position and ergonomics.,2021-05-04T15:59:07Z
t_9,720,perio probe patient chart perio_chart periodontal area time,8,I would like to try using the perio probe standing and without a fulcrum like Dr. Richards suggested.,2021-05-04T17:13:44Z
t_11,1254,time work appointment efficient exam fast clean speed,1,In the future I would like to work more quickly/keep a better eye on time. I also think that in the future I could have a more strategic plan when hand scaling to make it more efficient.,2021-05-04T17:14:36Z
t_7,3719,dr learn today patient appointment great experience work,10,I would like to be able to fix a broken EPT,2021-05-04T17:34:30Z
t_10,2142,hand time instrument work scale position improve patient,2,I would review how to use the universal curettes versus area specific.,2021-05-04T18:38:55Z
t_10,3366,hand time instrument work scale position improve patient,2,Next time I will focus more on establishing an adequate fulcrum before I begin to scale with hand instruments or electric scalers. I also want to ask the patient how they are doing and if they have any questions more often during the appointment.,2021-05-04T19:08:29Z
t_8,3116,time impression crown make material bite prep patient,11,"I used a posterior triple tray to take the impression, when I should have taken a full arch impression because the case was on #10.",2021-05-04T21:15:17Z
t_6,212,patient thing time differently thing_differently appointment differently_time oral,17,Spend less time on CHIPS,2021-05-04T21:41:17Z
t_7,3382,dr learn today patient appointment great experience work,10,I wouldn't do anything differently- I thought this was a really good opportunity for students to be able to practice on each other prior to going into clinic.,2021-05-04T21:43:54Z
t_10,883,hand time instrument work scale position improve patient,2,"I would like to become more proficient in clinic workflow and confident in my skills, especially with the use of scaling instruments.",2021-05-04T21:47:57Z
t_4,1344,restoration composite margin time tooth prep contact make,9,I would like to contour the prep and retract the soft tissue a little more to get adequate chamfer finish line.,2021-05-05T02:58:30Z
t_2,3712,patient tooth treatment option crown discuss pt time,5,Better explain the treatment options for infected tooth,2021-05-05T13:38:47Z
t_3,2009,plan treatment faculty treatment_plan time finding note check,4,Be more organized.,2021-05-05T14:01:33Z
t_2,1698,patient tooth treatment option crown discuss pt time,5,Numb the patient,2021-05-05T14:47:06Z
t_9,511,perio probe patient chart perio_chart periodontal area time,8,I would have liked to talk more about the perio chart that we do on patients. I understand the probing depths but I wish I had asked what other parts of the chart we have to fill out and how we perform those aspects.,2021-05-05T15:41:18Z
t_6,1368,patient thing time differently thing_differently appointment differently_time oral,17,Get better with the camera,2021-05-05T17:05:16Z
t_8,3339,time impression crown make material bite prep patient,11,"Next time, I will have a better understanding and knowledge about the the sedative material and how to place photac.",2021-05-05T18:08:23Z
t_2,174,patient tooth treatment option crown discuss pt time,5,"Sorry again about the confusion. Next time, I would like to work on building more rapport with the patient.",2021-05-05T18:11:40Z
t_8,3235,time impression crown make material bite prep patient,11,I would like to be better at evaluating a good alginate impression,2021-05-05T20:34:28Z
t_2,3327,patient tooth treatment option crown discuss pt time,5,I would like to better understand all the possible options for prosthetics in different situations,2021-05-05T20:37:03Z
t_3,3009,plan treatment faculty treatment_plan time finding note check,4,I would like to improve my note writing abilities to make them more specific and relevant yet brief. In addition I would like to learn to navigate the mident more efficiently.,2021-05-05T23:20:01Z
t_7,3258,dr learn today patient appointment great experience work,10,"Next time, I would like to be more prepared in dealing with issues that my patient presents with, such as sore gums. I am not sure if it was just because I was nervous, but I found myself clueless when she asked about why her gums were hurting so much when I poked at them while probing.",2021-05-06T01:41:22Z
t_11,986,time work appointment efficient exam fast clean speed,1,Speaking with Dr. Ramadan in PerioS really helped me get reacquainted with the prophy process and how to best work during an appointment. I would like to work quicker next time and be better prepared before starting patient care. Better seating positions as well as better and more efficient adaption of the piezoelectric scaler.,2021-05-06T02:38:34Z
t_3,2803,plan treatment faculty treatment_plan time finding note check,4,I would like to be faster and more efficient. Most of the delay came from waiting for faculty (they were down faculty members so it wasn't their fault that there was such a hold up) but I should have moved on and done a perio consult in the meantime.,2021-05-06T03:41:56Z
t_4,423,restoration composite margin time tooth prep contact make,9,I would like to get better at matrix band placement,2021-05-06T17:01:19Z
t_10,3160,hand time instrument work scale position improve patient,2,I want to work with better ergonomics and I also wish to use my loupes more comfortably.,2021-05-06T18:39:01Z
t_11,3605,time work appointment efficient exam fast clean speed,1,"When assisting next time, Id like to record the providers findings more efficiently so we waste less time.",2021-05-06T19:27:51Z
t_1,1655,patient time appointment today start history faculty exam,3,"This was the first patient I saw in the clinics, I thought I could only review the Health History and Dental History before asking specifically about the tooth the patient was referring to. I should have more data before I request a faculty for a start check and more training on navigating MiDent.",2021-05-06T20:11:43Z
t_2,390,patient tooth treatment option crown discuss pt time,5,"Next time, I will emphasize to a new denture patient to use a knife and fork rather than biting with their front 'teeth'",2021-05-06T20:22:47Z
t_8,1688,time impression crown make material bite prep patient,11,"Next time, I will recognize when a maxillary tuberosity is too wide to fabricate a denture.",2021-05-06T20:24:19Z
t_2,2272,patient tooth treatment option crown discuss pt time,5,I would like to be able to make definitive decision on whether a tooth is restorable or not without needing to ask faculty,2021-05-06T20:31:29Z
t_3,2323,plan treatment faculty treatment_plan time finding note check,4,"I would like to start my treatment note at the very beginning of the appointment, so I don't have to rush to fill it out at the end.",2021-05-06T20:58:07Z
t_11,948,time work appointment efficient exam fast clean speed,1,I would like to be better at spending less time writing on the computer and more time talking to the pt.,2021-05-06T21:04:15Z
t_3,2705,plan treatment faculty treatment_plan time finding note check,4,"This was my first patient and I am happy with the rapport he and I developed. One area of improvement would be time management during the appointment. A D4 assisted me and was really helpful with entering findings and treatment plans into Axium, and at my next appointment I'd like to learn how to manage my time carefully to make sure I can enter the data myself, too.",2021-05-06T21:04:44Z
t_9,2955,perio probe patient chart perio_chart periodontal area time,8,I will checked whether the condition is caused by traumatic occlusion before planning for treatment. I will try not to reach the conclusion of restoring a tooth readily before trying other non-invasive procedure.,2021-05-06T21:04:50Z
t_11,3330,time work appointment efficient exam fast clean speed,1,I would be time efficient in doing the comprehensive exam next time,2021-05-06T21:13:23Z
t_3,3108,plan treatment faculty treatment_plan time finding note check,4,"I would like to be more confident in using the computer system, knowing where to click for approvals, and just improve my navigation through the system in general.",2021-05-06T22:01:15Z
t_4,2428,restoration composite margin time tooth prep contact make,9,"I would like to work more quickly in dropping my proximal box. This was my first clinic experience, so I was slow and extended the appointment time. I would also like to work on finishing my composite into ideal occlusion.",2021-05-07T00:02:28Z
t_12,616,caries tooth time lesion confident remove identify stain,14,Improve my carious detection,2021-05-07T03:25:49Z
t_11,1888,time work appointment efficient exam fast clean speed,1,Manage my time better!,2021-05-07T12:06:13Z
t_8,3270,time impression crown make material bite prep patient,11,"I think everything went smoothly. It was my first appt ever so naturally I was a little bit nervous and anxious, but nothing went wrong.",2021-05-07T12:07:34Z
t_8,3035,time impression crown make material bite prep patient,11,be able to adjust the bite guard more efficiently,2021-05-07T14:06:28Z
