Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.203117605557462
75% Corpus,2,0.01,0.31,0.210054221381468
75% Corpus,2,0.01,0.61,0.24388342802196916
75% Corpus,2,0.01,0.9099999999999999,0.22304850828983624
75% Corpus,2,0.01,symmetric,0.2079045350200844
75% Corpus,2,0.31,0.01,0.2087818987921729
75% Corpus,2,0.31,0.31,0.25058896621777754
75% Corpus,2,0.31,0.61,0.24597091802146015
75% Corpus,2,0.31,0.9099999999999999,0.23815499174931404
75% Corpus,2,0.31,symmetric,0.2460018151069546
75% Corpus,2,0.61,0.01,0.17788570668888476
75% Corpus,2,0.61,0.31,0.2357167780983407
75% Corpus,2,0.61,0.61,0.2193808282875408
75% Corpus,2,0.61,0.9099999999999999,0.2505051210596563
75% Corpus,2,0.61,symmetric,0.2331019671198148
75% Corpus,2,0.9099999999999999,0.01,0.23671279032803252
75% Corpus,2,0.9099999999999999,0.31,0.2120090733423115
75% Corpus,2,0.9099999999999999,0.61,0.2819037900936968
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.24752395246769993
75% Corpus,2,0.9099999999999999,symmetric,0.23817960423834927
75% Corpus,2,symmetric,0.01,0.19087894906689698
75% Corpus,2,symmetric,0.31,0.19210003607345688
75% Corpus,2,symmetric,0.61,0.25581426562210297
75% Corpus,2,symmetric,0.9099999999999999,0.24175103468417025
75% Corpus,2,symmetric,symmetric,0.2436049620970584
75% Corpus,2,asymmetric,0.01,0.22458151399270795
75% Corpus,2,asymmetric,0.31,0.2392939970734072
75% Corpus,2,asymmetric,0.61,0.24602658141466105
75% Corpus,2,asymmetric,0.9099999999999999,0.33994515051169183
75% Corpus,2,asymmetric,symmetric,0.2447161776895574
75% Corpus,3,0.01,0.01,0.26049648589135327
75% Corpus,3,0.01,0.31,0.2613606487913825
75% Corpus,3,0.01,0.61,0.34385582491306427
75% Corpus,3,0.01,0.9099999999999999,0.2884496280811215
75% Corpus,3,0.01,symmetric,0.22662549996646827
75% Corpus,3,0.31,0.01,0.2606288438085035
75% Corpus,3,0.31,0.31,0.2570286609515859
75% Corpus,3,0.31,0.61,0.2625913733659275
75% Corpus,3,0.31,0.9099999999999999,0.2611010021246861
75% Corpus,3,0.31,symmetric,0.23246249880343386
75% Corpus,3,0.61,0.01,0.2756288780736128
75% Corpus,3,0.61,0.31,0.22594984237860807
75% Corpus,3,0.61,0.61,0.279607800279329
75% Corpus,3,0.61,0.9099999999999999,0.2861356180919154
75% Corpus,3,0.61,symmetric,0.294761322849789
75% Corpus,3,0.9099999999999999,0.01,0.2758743418546214
75% Corpus,3,0.9099999999999999,0.31,0.270694231787717
75% Corpus,3,0.9099999999999999,0.61,0.26779060044126773
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3206272464508374
75% Corpus,3,0.9099999999999999,symmetric,0.26688708249975535
75% Corpus,3,symmetric,0.01,0.2396367804009234
75% Corpus,3,symmetric,0.31,0.24768867340651424
75% Corpus,3,symmetric,0.61,0.264340989600586
75% Corpus,3,symmetric,0.9099999999999999,0.27896035962512394
75% Corpus,3,symmetric,symmetric,0.2498869347855862
75% Corpus,3,asymmetric,0.01,0.26430663627179435
75% Corpus,3,asymmetric,0.31,0.28997496768363046
75% Corpus,3,asymmetric,0.61,0.33907700419125364
75% Corpus,3,asymmetric,0.9099999999999999,0.2922620174113692
75% Corpus,3,asymmetric,symmetric,0.3196948350455413
75% Corpus,4,0.01,0.01,0.304535623882426
75% Corpus,4,0.01,0.31,0.29415690873998224
75% Corpus,4,0.01,0.61,0.36475069754359324
75% Corpus,4,0.01,0.9099999999999999,0.3563601061496624
75% Corpus,4,0.01,symmetric,0.2700037131936104
75% Corpus,4,0.31,0.01,0.2821657520692564
75% Corpus,4,0.31,0.31,0.29001152295385085
75% Corpus,4,0.31,0.61,0.2967840655334343
75% Corpus,4,0.31,0.9099999999999999,0.3797553093061564
75% Corpus,4,0.31,symmetric,0.2514324913563759
75% Corpus,4,0.61,0.01,0.26564780484548484
75% Corpus,4,0.61,0.31,0.2641809252171723
75% Corpus,4,0.61,0.61,0.282401361189746
75% Corpus,4,0.61,0.9099999999999999,0.3190498117510705
75% Corpus,4,0.61,symmetric,0.30804145089541063
75% Corpus,4,0.9099999999999999,0.01,0.2512086424883087
75% Corpus,4,0.9099999999999999,0.31,0.31708722113249904
75% Corpus,4,0.9099999999999999,0.61,0.3403422653697728
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.30762426460217424
75% Corpus,4,0.9099999999999999,symmetric,0.25891764652766863
75% Corpus,4,symmetric,0.01,0.300894738771912
75% Corpus,4,symmetric,0.31,0.24563019454663215
75% Corpus,4,symmetric,0.61,0.34542179153206515
75% Corpus,4,symmetric,0.9099999999999999,0.3725680638248835
75% Corpus,4,symmetric,symmetric,0.26331539246424285
75% Corpus,4,asymmetric,0.01,0.2710178055888555
75% Corpus,4,asymmetric,0.31,0.2852890916523696
75% Corpus,4,asymmetric,0.61,0.34508055560300804
75% Corpus,4,asymmetric,0.9099999999999999,0.3772936234320644
75% Corpus,4,asymmetric,symmetric,0.29556899793420427
75% Corpus,5,0.01,0.01,0.2818155515096298
75% Corpus,5,0.01,0.31,0.30216307339082943
75% Corpus,5,0.01,0.61,0.40803272574852434
75% Corpus,5,0.01,0.9099999999999999,0.39950561334915413
75% Corpus,5,0.01,symmetric,0.274705266481705
75% Corpus,5,0.31,0.01,0.27029632201079384
75% Corpus,5,0.31,0.31,0.24717921991750863
75% Corpus,5,0.31,0.61,0.2995928974472338
75% Corpus,5,0.31,0.9099999999999999,0.36460538174712603
75% Corpus,5,0.31,symmetric,0.2902620897230646
75% Corpus,5,0.61,0.01,0.257090689329597
75% Corpus,5,0.61,0.31,0.30488334684166285
75% Corpus,5,0.61,0.61,0.32458419314605524
75% Corpus,5,0.61,0.9099999999999999,0.33142265202269294
75% Corpus,5,0.61,symmetric,0.3151723506792313
75% Corpus,5,0.9099999999999999,0.01,0.27531503520904277
75% Corpus,5,0.9099999999999999,0.31,0.2657897210504291
75% Corpus,5,0.9099999999999999,0.61,0.29649330920661543
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.33691317383651526
75% Corpus,5,0.9099999999999999,symmetric,0.27029144847023495
75% Corpus,5,symmetric,0.01,0.27751671235988884
75% Corpus,5,symmetric,0.31,0.29270308233601633
